Time,Value
01.01.2023 00:00:00,4810
01.01.2023 00:15:00,4035
01.01.2023 00:30:00,617
01.01.2023 00:45:00,5576
01.01.2023 01:00:00,4811
01.01.2023 01:15:00,1815
01.01.2023 01:30:00,5879
01.01.2023 01:45:00,813
01.01.2023 02:00:00,7873
01.01.2023 02:15:00,8281
01.01.2023 02:30:00,6253
01.01.2023 02:45:00,1758
01.01.2023 03:00:00,5857
01.01.2023 03:15:00,5955
01.01.2023 03:30:00,9478
01.01.2023 03:45:00,5602
01.01.2023 04:00:00,7594
01.01.2023 04:15:00,2564
01.01.2023 04:30:00,1062
01.01.2023 04:45:00,4233
01.01.2023 05:00:00,2586
01.01.2023 05:15:00,592
01.01.2023 05:30:00,5940
01.01.2023 05:45:00,2259
01.01.2023 06:00:00,7077
01.01.2023 06:15:00,2458
01.01.2023 06:30:00,5668
01.01.2023 06:45:00,3808
01.01.2023 07:00:00,8617
01.01.2023 07:15:00,6266
01.01.2023 07:30:00,6007
01.01.2023 07:45:00,5347
01.01.2023 08:00:00,6540
01.01.2023 08:15:00,548
01.01.2023 08:30:00,7680
01.01.2023 08:45:00,1523
01.01.2023 09:00:00,7454
01.01.2023 09:15:00,7980
01.01.2023 09:30:00,5672
01.01.2023 09:45:00,3978
01.01.2023 10:00:00,2353
01.01.2023 10:15:00,4538
01.01.2023 10:30:00,5557
01.01.2023 10:45:00,8778
01.01.2023 11:00:00,8103
01.01.2023 11:15:00,7229
01.01.2023 11:30:00,1759
01.01.2023 11:45:00,5366
01.01.2023 12:00:00,4884
01.01.2023 12:15:00,7256
01.01.2023 12:30:00,8201
01.01.2023 12:45:00,4452
01.01.2023 13:00:00,8034
01.01.2023 13:15:00,1981
01.01.2023 13:30:00,6167
01.01.2023 13:45:00,8192
01.01.2023 14:00:00,4758
01.01.2023 14:15:00,8904
01.01.2023 14:30:00,5056
01.01.2023 14:45:00,9601
01.01.2023 15:00:00,9522
01.01.2023 15:15:00,8928
01.01.2023 15:30:00,8833
01.01.2023 15:45:00,7007
01.01.2023 16:00:00,4226
01.01.2023 16:15:00,611
01.01.2023 16:30:00,2859
01.01.2023 16:45:00,4843
01.01.2023 17:00:00,8847
01.01.2023 17:15:00,9756
01.01.2023 17:30:00,1762
01.01.2023 17:45:00,4620
01.01.2023 18:00:00,4534
01.01.2023 18:15:00,6950
01.01.2023 18:30:00,760
01.01.2023 18:45:00,7869
01.01.2023 19:00:00,2436
01.01.2023 19:15:00,6796
01.01.2023 19:30:00,3978
01.01.2023 19:45:00,6144
01.01.2023 20:00:00,9001
01.01.2023 20:15:00,9892
01.01.2023 20:30:00,4663
01.01.2023 20:45:00,2346
01.01.2023 21:00:00,4355
01.01.2023 21:15:00,5603
01.01.2023 21:30:00,3226
01.01.2023 21:45:00,9517
01.01.2023 22:00:00,2446
01.01.2023 22:15:00,4664
01.01.2023 22:30:00,2491
01.01.2023 22:45:00,6344
01.01.2023 23:00:00,7452
01.01.2023 23:15:00,9760
01.01.2023 23:30:00,8033
01.01.2023 23:45:00,9056
02.01.2023 00:00:00,2749
02.01.2023 00:15:00,2422
02.01.2023 00:30:00,8045
02.01.2023 00:45:00,1718
02.01.2023 01:00:00,6621
02.01.2023 01:15:00,4388
02.01.2023 01:30:00,7381
02.01.2023 01:45:00,2719
02.01.2023 02:00:00,9494
02.01.2023 02:15:00,6891
02.01.2023 02:30:00,2266
02.01.2023 02:45:00,725
02.01.2023 03:00:00,5764
02.01.2023 03:15:00,4186
02.01.2023 03:30:00,3432
02.01.2023 03:45:00,5157
02.01.2023 04:00:00,8195
02.01.2023 04:15:00,7644
02.01.2023 04:30:00,8986
02.01.2023 04:45:00,9905
02.01.2023 05:00:00,5567
02.01.2023 05:15:00,8410
02.01.2023 05:30:00,1918
02.01.2023 05:45:00,2017
02.01.2023 06:00:00,3383
02.01.2023 06:15:00,7393
02.01.2023 06:30:00,901
02.01.2023 06:45:00,1976
02.01.2023 07:00:00,1252
02.01.2023 07:15:00,9749
02.01.2023 07:30:00,8298
02.01.2023 07:45:00,6149
